epoch,box_percent,bank_size,loss,max_violation,mean_violation,rho
0,50.0,1946,0.00215,-0.185133,-0.258116,
20,53.3,42906,0.002943,-0.162789,-0.177933,0.0008
40,56.7,84378,0.002661,-0.114178,-0.220449,0.0002
60,60.0,125850,0.002456,-0.253197,-0.263862,0.0005
80,63.4,167322,0.002189,-0.265905,-0.286198,0.0005
100,66.7,200000,0.002249,-0.272739,-0.305957,0.0004
120,70.1,200000,0.002245,-0.291399,-0.331691,0.0004
140,73.4,200000,0.002263,-0.304522,-0.35825,0.0005
160,76.8,200000,0.002369,-0.326682,-0.396188,0.0005
180,80.1,200000,0.00226,-0.346177,-0.435776,0.0004
200,83.4,200000,0.002148,-0.363645,-0.479648,0.0006
220,86.8,200000,0.002422,-0.416913,-0.528181,0.0005
240,90.1,200000,0.002011,-0.47716,-0.602131,0.0007
260,93.5,200000,0.00197,-0.569911,-0.663853,0.0005
280,96.8,200000,0.002513,-0.665784,-0.743913,0.0007
