run_id,timestamp,system,seed,deterministic,resume,strong_profile,paper_profile,final_mission,pretrain_epochs,cegis_epochs,alpha_lyap,bank_capacity,bank_mode,replay_new_ratio
cartpole_20260327_120245,2026-03-27T12:02:45,cartpole,766271436,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_132417,2026-03-27T13:24:17,cartpole,771163445,False,False,False,False,False,250,400,0.01,200000,fifo,0.35
cartpole_20260327_141545,2026-03-27T14:15:45,cartpole,774251436,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_141607,2026-03-27T14:16:07,cartpole,774274873,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_212515,2026-03-27T21:25:15,cartpole,800021874,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_223452,2026-03-27T22:34:52,cartpole,804198082,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_224202,2026-03-27T22:42:02,cartpole,804630490,False,False,False,False,False,150,350,0.08,200000,fifo,0.35
cartpole_20260327_233912,2026-03-27T23:39:12,cartpole,808059968,False,False,False,False,False,150,350,0.01,200000,fifo,0.35
cartpole_20260327_234019,2026-03-27T23:40:19,cartpole,42,False,False,False,False,False,0,1,0.01,200000,fifo,0.35
cartpole_20260327_234053,2026-03-27T23:40:53,cartpole,42,False,False,False,False,False,0,1,0.08,200000,fifo,0.35
cartpole_20260327_234227,2026-03-27T23:42:27,cartpole,42,False,False,False,False,False,0,10,0.01,200000,fifo,0.35
cartpole_20260327_234408,2026-03-27T23:44:08,cartpole,42,False,False,False,False,False,0,21,0.01,200000,fifo,0.35
cartpole_20260327_235751,2026-03-27T23:57:51,cartpole,809179528,False,False,False,False,True,150,350,0.01,800000,reservoir,0.25
